Cost,Path,Function-Type,Start
6387,"['Jets', 'Wild', 'Blues', 'Predators', 'Blackhawks', 'Jets', 'Coyotes', 'Stars', 'Avalanche']",Simple,Jets
7575,"['Jets', 'Blackhawks', 'Blues', 'Wild', 'Stars', 'Avalanche', 'Coyotes', 'Jets', 'Predators']",Simple,Jets
7374,"['Jets', 'Predators', 'Wild', 'Blues', 'Blackhawks', 'Avalanche', 'Coyotes', 'Stars', 'Jets']",Simple,Jets
6782,"['Jets', 'Blackhawks', 'Blues', 'Wild', 'Stars', 'Predators', 'Jets', 'Avalanche', 'Coyotes']",Simple,Jets
6213,"['Jets', 'Wild', 'Coyotes', 'Avalanche', 'Blues', 'Stars', 'Predators', 'Blackhawks', 'Jets']",Simple,Jets
7029,"['Jets', 'Wild', 'Blackhawks', 'Coyotes', 'Avalanche', 'Predators', 'Blues', 'Jets', 'Stars']",Simple,Jets
7160,"['Jets', 'Predators', 'Wild', 'Blues', 'Blackhawks', 'Stars', 'Coyotes', 'Avalanche', 'Jets']",Simple,Jets
6867,"['Jets', 'Predators', 'Stars', 'Jets', 'Blues', 'Blackhawks', 'Wild', 'Avalanche', 'Coyotes']",Simple,Jets
6202,"['Jets', 'Stars', 'Predators', 'Blackhawks', 'Blues', 'Coyotes', 'Avalanche', 'Wild', 'Jets']",Simple,Jets
6753,"['Jets', 'Blues', 'Blackhawks', 'Predators', 'Stars', 'Coyotes', 'Wild', 'Jets', 'Avalanche']",Simple,Jets
7170,"['Jets', 'Blues', 'Predators', 'Jets', 'Blackhawks', 'Wild', 'Coyotes', 'Avalanche', 'Stars']",Simple,Jets
7216,"['Jets', 'Wild', 'Stars', 'Jets', 'Blackhawks', 'Avalanche', 'Coyotes', 'Predators', 'Blues']",Simple,Jets
6443,"['Jets', 'Predators', 'Stars', 'Avalanche', 'Coyotes', 'Blackhawks', 'Blues', 'Wild', 'Jets']",Simple,Jets
6596,"['Jets', 'Coyotes', 'Avalanche', 'Stars', 'Blackhawks', 'Blues', 'Predators', 'Jets', 'Wild']",Simple,Jets
5634,"['Jets', 'Blues', 'Predators', 'Stars', 'Coyotes', 'Avalanche', 'Blackhawks', 'Wild', 'Jets']",Simple,Jets
7044,"['Jets', 'Predators', 'Avalanche', 'Coyotes', 'Stars', 'Blackhawks', 'Jets', 'Wild', 'Blues']",Simple,Jets
6923,"['Jets', 'Blackhawks', 'Coyotes', 'Stars', 'Avalanche', 'Jets', 'Wild', 'Blues', 'Predators']",Simple,Jets
6735,"['Jets', 'Blackhawks', 'Predators', 'Blues', 'Wild', 'Coyotes', 'Avalanche', 'Stars', 'Jets']",Simple,Jets
7035,"['Jets', 'Stars', 'Wild', 'Jets', 'Blackhawks', 'Blues', 'Avalanche', 'Coyotes', 'Predators']",Simple,Jets
6593,"['Jets', 'Blues', 'Predators', 'Wild', 'Blackhawks', 'Jets', 'Avalanche', 'Coyotes', 'Stars']",Simple,Jets
6416,"['Jets', 'Avalanche', 'Jets', 'Wild', 'Predators', 'Blues', 'Blackhawks', 'Stars', 'Coyotes']",Simple,Jets
6260,"['Jets', 'Wild', 'Jets', 'Blackhawks', 'Blues', 'Coyotes', 'Stars', 'Avalanche', 'Predators']",Simple,Jets
7174,"['Jets', 'Stars', 'Predators', 'Avalanche', 'Coyotes', 'Wild', 'Jets', 'Blues', 'Blackhawks']",Simple,Jets
6657,"['Jets', 'Wild', 'Blackhawks', 'Jets', 'Blues', 'Coyotes', 'Avalanche', 'Predators', 'Stars']",Simple,Jets
7215,"['Jets', 'Blackhawks', 'Blues', 'Jets', 'Predators', 'Wild', 'Stars', 'Coyotes', 'Avalanche']",Simple,Jets
6538,"['Jets', 'Avalanche', 'Coyotes', 'Stars', 'Blues', 'Predators', 'Jets', 'Blackhawks', 'Wild']",Simple,Jets
7593,"['Jets', 'Avalanche', 'Jets', 'Stars', 'Wild', 'Blackhawks', 'Predators', 'Blues', 'Coyotes']",Simple,Jets
6438,"['Jets', 'Blackhawks', 'Blues', 'Predators', 'Stars', 'Coyotes', 'Wild', 'Jets', 'Avalanche']",Simple,Jets
5494,"['Jets', 'Stars', 'Coyotes', 'Avalanche', 'Blues', 'Predators', 'Blackhawks', 'Wild', 'Jets']",Simple,Jets
6393,"['Jets', 'Wild', 'Predators', 'Stars', 'Jets', 'Blues', 'Blackhawks', 'Avalanche', 'Coyotes']",Simple,Jets
6682,"['Jets', 'Wild', 'Blackhawks', 'Stars', 'Jets', 'Blues', 'Predators', 'Coyotes', 'Avalanche']",Simple,Jets
7472,"['Jets', 'Blackhawks', 'Wild', 'Jets', 'Predators', 'Avalanche', 'Stars', 'Coyotes', 'Blues']",Simple,Jets
7563,"['Jets', 'Coyotes', 'Stars', 'Blackhawks', 'Avalanche', 'Predators', 'Blues', 'Wild', 'Jets']",Simple,Jets
7055,"['Jets', 'Wild', 'Avalanche', 'Blues', 'Predators', 'Coyotes', 'Stars', 'Blackhawks', 'Jets']",Simple,Jets
7442,"['Jets', 'Blackhawks', 'Avalanche', 'Stars', 'Predators', 'Coyotes', 'Blues', 'Wild', 'Jets']",Simple,Jets
6024,"['Jets', 'Stars', 'Coyotes', 'Avalanche', 'Blackhawks', 'Blues', 'Predators', 'Wild', 'Jets']",Simple,Jets
5046,"['Jets', 'Wild', 'Jets', 'Blackhawks', 'Predators', 'Blues', 'Avalanche', 'Stars', 'Coyotes']",Simple,Jets
7210,"['Jets', 'Stars', 'Coyotes', 'Predators', 'Blues', 'Jets', 'Wild', 'Blackhawks', 'Avalanche']",Simple,Jets
6829,"['Jets', 'Wild', 'Blackhawks', 'Jets', 'Predators', 'Stars', 'Avalanche', 'Blues', 'Coyotes']",Simple,Jets
7904,"['Jets', 'Avalanche', 'Stars', 'Coyotes', 'Wild', 'Blackhawks', 'Blues', 'Jets', 'Predators']",Simple,Jets
